method,method_label,dataset,scenario,n_completed
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,15
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,15
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,15
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,random,15
arnoldi_s1,ArnoldiGCL + S1,human,cold_drug,15
arnoldi_s1,ArnoldiGCL + S1,human,cold_pair,15
arnoldi_s1,ArnoldiGCL + S1,human,cold_protein,15
arnoldi_s1,ArnoldiGCL + S1,human,random,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,cold_drug,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,cold_pair,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,cold_protein,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,random,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,cold_drug,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,cold_pair,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,cold_protein,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,random,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,cold_drug,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,cold_pair,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,cold_protein,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,random,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,cold_drug,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,cold_pair,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,cold_protein,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,random,15
