method,method_label,dataset,scenario,seed,fold,split_signature,best_val_auc,n_test_positive,accuracy,auc,aupr,f1,threshold
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,1941488137,0,d3122cff3f09f0e7ffd06030d60d5e2eca915ec3d9ead8dd02edbd3283126894,0.9739024986567983,4182,0.9843702447719664,0.9741388876881427,0.9293033783423763,0.9080915249904129,0.8755108869320706
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,1941488137,1,271362873bdfd8fae15456fd6c51cac9d2e8e081d8fbaf95bf8f87f4e97a44bf,0.9795459791931712,4280,0.9817969413763806,0.9708658534588173,0.9192160393331269,0.8911192986913988,0.8618186385990813
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,1941488137,2,6fade7330d6d26b28f5faeff6b9ddbaaf1b6001f51b43b0e085de6362903a3fb,0.9825067384539488,4116,0.9845392702535559,0.9749758049131078,0.929123818082335,0.9093499093499093,0.9251206235036449
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,1941488137,3,bb13aff79788c532ba4be6faf227627a3fd9a0922917ed81c0c27e8b1e896e17,0.9731972873559022,4061,0.9841731772290748,0.9742285386710096,0.9319958169062601,0.9066913026263693,0.45808042129425103
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,1941488137,4,c7ebc80f58f9cbb1d44a9197b733c0c17d684e5c756941826054ab573b76f457,0.9767023730317917,4035,0.9840937253576659,0.974607881163733,0.9295413055741407,0.9069828722002635,0.8362522631475285
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,4198936517,0,f99b8da5ab42ba3a3a174619834df007af4996a7b09c0c44599b9192d2853fb2,0.9709496727424828,4084,0.9841064909625145,0.9725801388280009,0.928706061859517,0.906885758998435,0.6541701105359471
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,4198936517,1,af1dc944cf987f1e10275d3ad0c7073b6aef183cdfd1520f3a8905ecdd563efa,0.9757435623779884,4191,0.9837096809179844,0.9757834888488878,0.9302241913079271,0.9044893806435202,0.8919666287017168
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,4198936517,2,3ed3b0703aaae09b96234f544ce4f3d852b5973fdf99e944f8e86e8ff0842696,0.9799640731601104,4093,0.9852297714501477,0.9771151266883225,0.9384126502672661,0.9128326124000524,0.9307467608092596
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,4198936517,3,2b423d98eadf4e955c204ac0c7d2cf1317801698510fe27edaa02dc1817607cc,0.9795004362235114,4171,0.9810814934286524,0.9644900044782964,0.9130584456597657,0.8882307494205511,0.7962901050913804
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,4198936517,4,c0d6c15b73d44b1e9e34d83f78ea6d8fde927a5b41c7fa3eec65dd204b3f1780,0.973487215047176,4135,0.9845663405518302,0.9756440507713521,0.9339590228752084,0.9096292481977343,0.5867399779819444
